% Model:              6reg_allT_k_eps_result_new_kIn_epsIn_HOT_JET.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:54
% Dimension:          2
% Nodes:              84581
% Expressions:        1
% Description:        Surface
% r                       z                        Temperature
0.0054999999999999945     0                        422.89943904196696
0.005362499999999995      1.0571355183384454E-4    422.89944089112106
0.0054999999999999945     1.0571355183384454E-4    422.8994409624694
0.005362499999999994      2.1142710366768908E-4    422.8994427361086
0.005499999999999994      2.1142710366768908E-4    422.8994428788221
0                         0.005667554853409787     422.89945824601966
1.3749999999999938E-4     0.005667554853409787     422.8994588859602
2.7499999999999877E-4     0.005667554853409788     422.89946057087195
0                         0.005846277805674734     422.8994588518523
1.3749999999999936E-4     0.005846277805674734     422.8994594922056
2.749999999999987E-4      0.005846277805674734     422.8994611856906
0.005637499999999995      0                        422.89943904196696
0.0057749999999999945     0                        422.89943904196696
0.005637499999999995      1.0571355183384454E-4    422.8994410389836
0.005774999999999995      1.0571355183384454E-4    422.89944112004395
0.005637499999999995      2.1142710366768908E-4    422.8994430314249
0.005774999999999995      2.1142710366768908E-4    422.8994431935804
0                         0.006029755305290791     422.8994594723148
1.3749999999999938E-4     0.006029755305290791     422.89946011366794
2.7499999999999877E-4     0.006029755305290791     422.8994618155548
0                         0.006213232804906849     422.8994600950518
1.3749999999999938E-4     0.006213232804906849     422.8994607369007
2.7499999999999877E-4     0.006213232804906849     422.89946244699803
0.005912499999999994      0                        422.89943904196696
0.006049999999999995      0                        422.89943904196696
0.005912499999999994      1.0571355183384453E-4    422.89944120728626
0.006049999999999995      1.0571355183384453E-4    422.89944130001584
0.005912499999999995      2.1142710366768905E-4    422.89944336757617
0.006049999999999995      2.1142710366768905E-4    422.8994435530952
0                         0.006401591336582486     422.89946073302013
1.3749999999999938E-4     0.006401591336582486     422.8994613759013
2.7499999999999877E-4     0.006401591336582486     422.89946309406156
0                         0.006589949868258122     422.89946137321584
1.3749999999999936E-4     0.006589949868258122     422.89946201666834
2.749999999999987E-4      0.006589949868258122     422.8994637427285
0.006187499999999993      0                        422.89943904196696
0.006324999999999993      0                        422.89943904196696
0.006187499999999994      1.0571355183384455E-4    422.8994414002146
0.006324999999999994      1.0571355183384457E-4    422.8994415071051
0.006187499999999995      2.114271036676891E-4     422.8994437529278
0.006324999999999995      2.1142710366768913E-4    422.89944396680505
0                         0.006783319281560814     422.899462029247
1.3749999999999938E-4     0.006783319281560814     422.89946267376854
2.7499999999999877E-4     0.006783319281560814     422.8994644076037
0                         0.006976688694863506     422.89946268750424
1.3749999999999938E-4     0.006976688694863506     422.8994633326384
2.7499999999999877E-4     0.006976688694863506     422.89946507410576
0.0064624999999999926     0                        422.89943904196696
0.006599999999999993      0                        422.89943904196696
0.0064624999999999926     1.0571355183384455E-4    422.89944162311747
0.006599999999999993      1.0571355183384453E-4    422.8994417473862
0.006462499999999993      2.114271036676891E-4     422.8994441981739
0.006599999999999992      2.1142710366768905E-4    422.8994444468593
0                         0.007175202293734716     422.89946336212074
1.374999999999994E-4      0.007175202293734716     422.899464008409
2.749999999999988E-4      0.007175202293734716     422.8994657574108
0                         0.007373715892605924     422.8994640393221
1.3749999999999944E-4     0.007373715892605924     422.8994646859843
2.749999999999989E-4      0.007373715892605924     422.89946644237494
0.0067374999999999935     0                        422.899439041967
0.006874999999999993      0                        422.89943904196696
0.006737499999999993      1.0571355183384453E-4    422.8994418829302
0.006874999999999992      1.0571355183384453E-4    422.8994420287966
0.006737499999999992      2.1142710366768905E-4    422.899444717183
0.006874999999999992      2.1142710366768905E-4    422.8994450091335
0                         0.007577510527257437     422.8994647330413
1.374999999999994E-4      0.007577510527257437     422.8994653810095
2.749999999999988E-4      0.007577510527257438     422.8994671447355
0                         0.00778130516190895      422.8994654305172
1.3749999999999938E-4     0.00778130516190895      422.8994660779263
2.7499999999999877E-4     0.007781305161908951     422.8994678487997
0.007012499999999993      0                        422.89943904196696
0.007149999999999993      0                        422.89943904196696
0.007012499999999993      1.0571355183384453E-4    422.89944218878946
0.007149999999999993      1.0571355183384453E-4    422.89944236190036
0.007012499999999993      2.1142710366768905E-4    422.89944532823563
0.007149999999999993      2.1142710366768905E-4    422.8994456747024
0                         0.00799052132316392      422.89946614391283
1.3749999999999938E-4     0.00799052132316392      422.8994667928598
2.7499999999999877E-4     0.00799052132316392      422.89946857088427
0                         0.00819973748441889      422.89946686128945
1.374999999999994E-4      0.008199737484418889     422.89946750968903
2.749999999999988E-4      0.008199737484418889     422.899469294695
0.007287499999999994      0                        422.899439041967
