% Model:              turbulent flows.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:57
% Dimension:          2
% Nodes:              14641
% Expressions:        1
% Description:        Surface
% r                       z                        tds.DiT_c/1e-9[m^2/s]
4.999999999999999E-4      0.1499533146591971       230820.20747489162
0.04017405063291138       0                        86864.96543176922
0.04017405063291138       0.002222222222222221     6195.0641666841975
0                         0.153202614379085        230339.5377410904
4.999999999999999E-4      0.15320261437908508      230371.99557782096
0.042008438818565405      0                        86858.90688480329
0.04200843881856541       0.00222222222222222      6191.125510927321
0                         0.15647058823529414      229896.9374858878
4.999999999999999E-4      0.15647058823529422      229935.1364250511
0.043862341772151904      0                        86855.97716199896
0.043862341772151904      0.002222222222222221     6189.07927102439
0                         0.15975723622782448      229464.9242382492
4.999999999999998E-4      0.15975723622782453      229509.39436989953
0.04573575949367088       0                        86854.57163266894
0.0457357594936709        0.002222222222222221     6187.986555114396
0                         0.16306255835667605      229043.676364581
4.999999999999999E-4      0.1630625583566761       229094.9152476374
0.047628691983122376      0                        86853.90265124862
0.04762869198312236       0.0022222222222222205    6187.372179728936
0                         0.16638655462184876      228633.40567942843
5.0E-4                    0.1663865546218488       228691.8680472588
0.04954113924050632       0                        86853.58674944918
0.04954113924050632       0.0022222222222222205    6186.996870217076
0                         0.1697292250233427       228234.20695292833
4.999999999999999E-4      0.16972922502334276      228300.39887572266
0.051473101265822774      0                        86853.43875138521
0.05147310126582279       0.0022222222222222205    6186.7423495443045
0                         0.17309056956115781      227846.0889880053
4.999999999999999E-4      0.17309056956115787      227920.47865433924
0.053424578059071734      0                        86853.36996107385
0.05342457805907173       0.0022222222222222205    6186.550449916807
0                         0.17647058823529416      227469.10140572157
4.999999999999999E-4      0.1764705882352942       227552.6463877428
0.05539556962025317       0                        86853.33823860747
0.05539556962025315       0.0022222222222222214    6186.392288137699
0                         0.17986928104575167      227103.68642667524
4.999999999999999E-4      0.17986928104575173      227196.28974455057
0.05738607594936711       0                        86853.3237249785
0.057386075949367114      0.0022222222222222205    6186.253578316456
0                         0.18328664799253036      226751.45920078512
4.999999999999999E-4      0.18328664799253044      226853.60924646378
0.05939609704641352       0                        86853.3171369515
0.059396097046413514      0.0022222222222222205    6186.127254588321
0                         0.18672268907563028      226412.22335427516
4.999999999999999E-4      0.1867226890756303       226523.48489494278
0.06142563291139238       0                        86853.31417003149
0.061425632911392386      0.0022222222222222205    6186.009755129669
0                         0.19017740429505137      226084.68553526467
4.999999999999999E-4      0.19017740429505142      226206.42316868584
0.06347468354430383       0                        86853.31284438349
0.06347468354430384       0.00222222222222222      6185.89920988806
0                         0.19365079365079368      225769.847591304
4.999999999999999E-4      0.19365079365079374      225902.888364978
0.06554324894514768       0                        86853.31225672741
0.06554324894514768       0.00222222222222222      6185.79456581656
0                         0.19714285714285718      225468.3825577132
4.999999999999999E-4      0.19714285714285723      225613.25199932262
0.06763132911392405       0                        86853.31199826839
0.06763132911392404       0.00222222222222222      6185.695167585379
0                         0.20065359477124184      225180.98985970658
4.999999999999999E-4      0.20065359477124184      225338.26441824826
0.06973892405063294       0                        86853.31188548781
0.06973892405063291       0.00222222222222222      6185.600558408112
0                         0.20418300653594776      224908.33905329774
4.999999999999999E-4      0.2041830065359478       225078.23682567323
0.07186603375527428       0                        86853.31183666173
0.0718660337552743        0.0022222222222222205    6185.510385727563
0                         0.20773109243697482      224651.29664365907
4.999999999999999E-4      0.2077310924369749       224834.3159489342
0.0740126582278481        0                        86853.3118156895
0.07401265822784808       0.0022222222222222196    6185.424356228601
0                         0.2112978524743231       224410.57204876034
4.999999999999999E-4      0.21129785247432312      224606.59452287
0.07617879746835444       0                        86853.31180675206
0.07617879746835443       0.0022222222222222196    6185.342213865545
0                         0.21488328664799253      224187.50416578527
5.0E-4                    0.21488328664799258      224397.15532794292
0.07836445147679326       0                        86853.31180297316
0.07836445147679326       0.0022222222222222196    6185.263728672371
0                         0.21848739495798322      223982.59005864512
4.999999999999999E-4      0.21848739495798322      224204.95338133903
0.08056962025316455       0                        86853.31180138799
0.08056962025316457       0.002222222222222219     6185.188690697927
0                         0.22211017740429506      223798.566968133
5.0E-4                    0.22211017740429512      224034.916439584
0.08279430379746835       0                        86853.31180072823
0.08279430379746837       0.002222222222222219     6185.116906508923
0                         0.2257516339869281       223635.78829200316
5.0E-4                    0.22575163398692816      223888.36043074966
0.08503850210970465       0                        86853.31180045579
0.08503850210970468       0.002222222222222219     6185.0481970660085
0                         0.22941176470588234      223495.57910719965
4.999999999999999E-4      0.2294117647058824       223765.72762929767
0.08730221518987344       0                        86853.31180034419
0.08730221518987342       0.002222222222222219     6184.98239627913
0                         0.2330905695611578       223381.34011775604
4.999999999999999E-4      0.23309056956115792      223671.6836363265
0.0895854430379747        0                        86853.3118002988
0.0895854430379747        0.0022222222222222188    6184.919349855755
0                         0.23678804855275445      223296.30255213057
4.999999999999999E-4      0.23678804855275448      223607.10373510854
0.09188818565400846       0                        86853.31180028053
0.09188818565400846       0.0022222222222222188    6184.858914257664
0                         0.24050420168067232      223244.87837185475
5.0E-4                    0.24050420168067232      223577.0221861516
0.0942104430379747        0                        86853.31180027321
